Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
L055,B4:5D:50:42:8E:50,SABANCIUNIV,-72,5.18,12,1732305116.4193318
L055,B4:5D:50:42:8E:52,SUGuest,-68,5.18,12,1732305116.4193318
L055,B4:5D:50:42:8E:51,eduroam,-72,5.18,12,1732305116.4193318
L055,B4:5D:50:42:8E:40,SABANCIUNIV,-70,2.412,11,1732305116.4193318
L055,B4:5D:50:42:8E:42,SUGuest,-70,2.412,11,1732305116.4193318
L055,B4:5D:50:1F:D0:A0,SABANCIUNIV,-77,2.437,11,1732305116.4193318
L055,B4:5D:50:1F:D0:A1,eduroam,-77,2.437,11,1732305116.4193318
L055,B4:5D:50:42:8E:41,eduroam,-70,2.412,11,1732305116.4193318
L055,B4:5D:50:42:8E:43,SU-IoT,-70,2.412,11,1732305116.4193318
L055,B4:5D:50:1F:D0:A2,SUGuest,-77,2.437,11,1732305116.4193318
L055,B4:5D:50:1F:D0:A3,SU-IoT,-77,2.437,11,1732305116.4193318
L055,B4:5D:50:1F:D0:B0,SABANCIUNIV,-70,5.56,12,1732305116.4193318
L055,B4:5D:50:1F:D0:B1,eduroam,-68,5.56,12,1732305116.4193318
L055,B4:5D:50:1F:D0:B2,SUGuest,-69,5.56,12,1732305116.4193318
L055,B4:5D:50:42:8E:50,SABANCIUNIV,-71,5.18,12,1732305120.6302402
L055,B4:5D:50:42:8E:52,SUGuest,-68,5.18,12,1732305120.6302402
L055,B4:5D:50:42:8E:51,eduroam,-70,5.18,12,1732305120.6302402
L055,B4:5D:50:42:8E:40,SABANCIUNIV,-72,2.412,11,1732305120.6302402
L055,B4:5D:50:42:8E:42,SUGuest,-72,2.412,11,1732305120.6302402
L055,B4:5D:50:1F:D0:A0,SABANCIUNIV,-73,2.437,11,1732305120.6302402
L055,B4:5D:50:1F:D0:A1,eduroam,-73,2.437,11,1732305120.6302402
L055,B4:5D:50:42:8E:41,eduroam,-72,2.412,11,1732305120.6302402
L055,B4:5D:50:42:8E:43,SU-IoT,-72,2.412,11,1732305120.6302402
L055,B4:5D:50:1F:D0:A2,SUGuest,-73,2.437,11,1732305120.6302402
L055,B4:5D:50:1F:D0:A3,SU-IoT,-73,2.437,11,1732305120.6302402
L055,B4:5D:50:1F:D0:B0,SABANCIUNIV,-68,5.56,12,1732305120.6302402
L055,B4:5D:50:1F:D0:B1,eduroam,-67,5.56,12,1732305120.6302402
L055,B4:5D:50:1F:D0:B2,SUGuest,-67,5.56,12,1732305120.6302402
L055,B4:5D:50:42:8E:50,SABANCIUNIV,-70,5.18,12,1732305124.8388383
L055,B4:5D:50:42:8E:52,SUGuest,-71,5.18,12,1732305124.8388383
L055,B4:5D:50:42:8E:51,eduroam,-74,5.18,12,1732305124.8388383
L055,B4:5D:50:42:8E:40,SABANCIUNIV,-72,2.412,11,1732305124.8388383
L055,B4:5D:50:42:8E:42,SUGuest,-72,2.412,11,1732305124.8388383
L055,B4:5D:50:1F:D0:A0,SABANCIUNIV,-79,2.437,11,1732305124.8388383
