Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
bathroom,B4:5D:50:1F:D0:B0,SABANCIUNIV,-60,5.56,12,1732311297.3693259
bathroom,B4:5D:50:1F:D0:B1,eduroam,-64,5.56,12,1732311297.3693259
bathroom,B4:5D:50:1F:D0:B2,SUGuest,-69,5.56,12,1732311297.3693259
bathroom,B4:5D:50:42:8E:40,SABANCIUNIV,-75,2.412,11,1732311297.3693259
bathroom,B4:5D:50:42:8E:41,eduroam,-75,2.412,11,1732311297.3693259
bathroom,B4:5D:50:42:8E:42,SUGuest,-75,2.412,11,1732311297.3693259
bathroom,B4:5D:50:42:8E:43,SU-IoT,-75,2.412,11,1732311297.3693259
bathroom,B4:5D:50:1F:D0:A3,SU-IoT,-76,2.437,11,1732311297.3693259
bathroom,B4:5D:50:1F:D0:A0,SABANCIUNIV,-76,2.437,11,1732311297.3693259
bathroom,B4:5D:50:1F:D0:A1,eduroam,-76,2.437,11,1732311297.3693259
bathroom,B4:5D:50:1F:D0:A2,SUGuest,-75,2.437,11,1732311297.3693259
bathroom,B4:5D:50:42:8E:50,SABANCIUNIV,-77,5.18,12,1732311297.3693259
bathroom,B4:5D:50:42:8E:51,eduroam,-68,5.18,12,1732311297.3693259
bathroom,B4:5D:50:42:8E:52,SUGuest,-70,5.18,12,1732311297.3693259
bathroom,B4:5D:50:1F:D0:B0,SABANCIUNIV,-65,5.56,12,1732311301.5610516
bathroom,B4:5D:50:1F:D0:B1,eduroam,-63,5.56,12,1732311301.5610516
bathroom,B4:5D:50:1F:D0:B2,SUGuest,-69,5.56,12,1732311301.5610516
bathroom,B4:5D:50:42:8E:40,SABANCIUNIV,-74,2.412,11,1732311301.5610516
bathroom,B4:5D:50:42:8E:41,eduroam,-74,2.412,11,1732311301.5610516
bathroom,B4:5D:50:42:8E:42,SUGuest,-74,2.412,11,1732311301.5610516
bathroom,B4:5D:50:42:8E:43,SU-IoT,-73,2.412,11,1732311301.5610516
bathroom,B4:5D:50:1F:D0:A3,SU-IoT,-68,2.437,11,1732311301.5610516
bathroom,B4:5D:50:1F:D0:A0,SABANCIUNIV,-68,2.437,11,1732311301.5610516
bathroom,B4:5D:50:1F:D0:A1,eduroam,-68,2.437,11,1732311301.5610516
bathroom,B4:5D:50:1F:D0:A2,SUGuest,-68,2.437,11,1732311301.5610516
bathroom,B4:5D:50:42:8E:50,SABANCIUNIV,-75,5.18,12,1732311301.5610516
bathroom,B4:5D:50:42:8E:51,eduroam,-68,5.18,12,1732311301.5610516
bathroom,B4:5D:50:42:8E:52,SUGuest,-69,5.18,12,1732311301.5610516
