Room,Address,ESSID,Signal Level,Frequency,Bit Rate,Timestamp
corridoor2,9C:8C:D8:CB:9E:21,eduroam,-71,2.412,11,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:22,SUGuest,-71,2.412,11,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:23,SU-IoT,-72,2.412,11,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:40,SABANCIUNIV,-68,2.462,11,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:41,eduroam,-67,2.462,11,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:42,SUGuest,-68,2.462,11,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:43,SU-IoT,-68,2.462,11,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:20,SABANCIUNIV,-72,2.412,11,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:50,SABANCIUNIV,-90,5.32,12,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:51,eduroam,-80,5.32,12,1732310599.0956511
corridoor2,B4:5D:50:1F:CF:52,SUGuest,-68,5.32,12,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:30,SABANCIUNIV,-56,5.52,12,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:31,eduroam,-56,5.52,12,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:32,SUGuest,-57,5.52,12,1732310599.0956511
corridoor2,B4:5D:50:29:8B:61,eduroam,-79,2.437,11,1732310599.0956511
corridoor2,B4:5D:50:29:8B:62,SUGuest,-79,2.437,11,1732310599.0956511
corridoor2,B4:5D:50:29:8B:60,SABANCIUNIV,-79,2.437,11,1732310599.0956511
corridoor2,B4:5D:50:29:8B:63,SU-IoT,-79,2.437,11,1732310599.0956511
corridoor2,B4:5D:50:29:8B:70,SABANCIUNIV,-95,5.3,12,1732310599.0956511
corridoor2,B4:5D:50:29:8B:71,eduroam,-95,5.3,12,1732310599.0956511
corridoor2,B4:5D:50:29:8B:72,SUGuest,-93,5.3,12,1732310599.0956511
corridoor2,9C:8C:D8:CB:9E:21,eduroam,-73,2.412,11,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:22,SUGuest,-72,2.412,11,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:23,SU-IoT,-72,2.412,11,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:40,SABANCIUNIV,-83,2.462,11,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:41,eduroam,-84,2.462,11,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:42,SUGuest,-83,2.462,11,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:43,SU-IoT,-82,2.462,11,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:20,SABANCIUNIV,-73,2.412,11,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:50,SABANCIUNIV,-93,5.32,12,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:51,eduroam,-80,5.32,12,1732310603.3913596
corridoor2,B4:5D:50:1F:CF:52,SUGuest,-68,5.32,12,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:30,SABANCIUNIV,-79,5.52,12,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:31,eduroam,-69,5.52,12,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:32,SUGuest,-69,5.52,12,1732310603.3913596
corridoor2,B4:5D:50:29:8B:61,eduroam,-77,2.437,11,1732310603.3913596
corridoor2,B4:5D:50:29:8B:62,SUGuest,-77,2.437,11,1732310603.3913596
corridoor2,B4:5D:50:29:8B:60,SABANCIUNIV,-76,2.437,11,1732310603.3913596
corridoor2,B4:5D:50:29:8B:63,SU-IoT,-77,2.437,11,1732310603.3913596
corridoor2,B4:5D:50:29:8B:70,SABANCIUNIV,-81,5.3,12,1732310603.3913596
corridoor2,B4:5D:50:29:8B:71,eduroam,-81,5.3,12,1732310603.3913596
corridoor2,B4:5D:50:29:8B:72,SUGuest,-93,5.3,12,1732310603.3913596
corridoor2,B4:5D:50:29:76:63,SU-IoT,-79,2.462,11,1732310603.3913596
corridoor2,9C:1C:12:06:45:42,SUGuest,-83,2.462,11,1732310603.3913596
corridoor2,B4:5D:50:29:76:70,SABANCIUNIV,-80,5.3,12,1732310603.3913596
corridoor2,B4:5D:50:29:76:71,eduroam,-80,5.3,12,1732310603.3913596
corridoor2,B4:5D:50:29:76:72,SUGuest,-80,5.3,12,1732310603.3913596
corridoor2,9C:8C:D8:CB:9E:21,eduroam,-75,2.412,11,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:22,SUGuest,-76,2.412,11,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:23,SU-IoT,-75,2.412,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:40,SABANCIUNIV,-81,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:41,eduroam,-80,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:42,SUGuest,-81,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:43,SU-IoT,-81,2.462,11,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:20,SABANCIUNIV,-76,2.412,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:51,eduroam,-89,5.32,12,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:52,SUGuest,-88,5.32,12,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:30,SABANCIUNIV,-77,5.52,12,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:31,eduroam,-69,5.52,12,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:32,SUGuest,-70,5.52,12,1732310606.5837996
corridoor2,B4:5D:50:29:8B:61,eduroam,-74,2.437,11,1732310606.5837996
corridoor2,B4:5D:50:29:8B:62,SUGuest,-74,2.437,11,1732310606.5837996
corridoor2,B4:5D:50:29:8B:60,SABANCIUNIV,-74,2.437,11,1732310606.5837996
corridoor2,B4:5D:50:29:8B:63,SU-IoT,-74,2.437,11,1732310606.5837996
corridoor2,B4:5D:50:29:8B:70,SABANCIUNIV,-87,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:8B:71,eduroam,-81,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:8B:72,SUGuest,-93,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:76:63,SU-IoT,-78,2.462,11,1732310606.5837996
corridoor2,9C:1C:12:06:45:42,SUGuest,-83,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:29:76:70,SABANCIUNIV,-84,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:76:71,eduroam,-70,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:76:72,SUGuest,-68,5.3,12,1732310606.5837996
corridoor2,B4:5D:50:29:76:60,SABANCIUNIV,-78,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:29:76:61,eduroam,-78,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:29:76:62,SUGuest,-78,2.462,11,1732310606.5837996
corridoor2,B4:5D:50:1F:CF:50,SABANCIUNIV,-88,5.32,12,1732310606.5837996
corridoor2,9C:8C:D8:CB:9E:21,eduroam,-77,2.412,11,1732310612.7835715
corridoor2,9C:8C:D8:CB:9E:22,SUGuest,-77,2.412,11,1732310612.7835715
corridoor2,9C:8C:D8:CB:9E:23,SU-IoT,-77,2.412,11,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:40,SABANCIUNIV,-77,2.462,11,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:41,eduroam,-77,2.462,11,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:42,SUGuest,-77,2.462,11,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:43,SU-IoT,-77,2.462,11,1732310612.7835715
corridoor2,9C:8C:D8:CB:9E:20,SABANCIUNIV,-76,2.412,11,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:51,eduroam,-81,5.32,12,1732310612.7835715
corridoor2,B4:5D:50:1F:CF:52,SUGuest,-88,5.32,12,1732310612.7835715
corridoor2,9C:8C:D8:CB:9E:30,SABANCIUNIV,-55,5.52,12,1732310612.7835715
corridoor2,9C:8C:D8:CB:9E:31,eduroam,-73,5.52,12,1732310612.7835715
